geoid,year,qoz_2018,population,population_source_code,poverty_universe,poverty_universe_source_code,poverty_count,poverty_count_source_code,median_household_income,median_household_income_source_code,median_gross_rent,median_gross_rent_source_code,civilian_labor_force,civilian_labor_force_source_code,unemployed,unemployed_source_code,workplace_jobs
25001014500,2019,1,5508,,5482,,112,,66672,,1604,,2646,,230,,267
25001014600,2018,0,4237,,4210,,138,,69155,,1598,,2130,,144,,593
25001014600,2019,0,4307,,4266,,217,,74531,,1598,,2248,,78,,517
25001014700,2018,0,3246,,3189,,229,,58750,,1476,,1631,,71,,785
25001014700,2019,0,3344,,3284,,243,,62917,,1429,,1582,,60,,756
25001014800,2018,0,3491,,3358,,282,,40284,,805,,1475,,38,,3834
25001014800,2019,0,3367,,3257,,321,,36802,,860,,1354,,42,,3825
25001014900,2018,0,3630,,3458,,201,,86293,,1016,,1588,,39,,5690
25001014900,2019,0,3574,,3406,,214,,90489,,1046,,1535,,46,,5580
25001015001,2018,0,4394,,4274,,262,,78232,,1361,,2424,,142,,937
25001015001,2019,0,4471,,4363,,89,,78819,,1583,,2646,,88,,974
25001015002,2018,0,4190,,4190,,237,,57117,,1372,,1755,,81,,1206
25001015002,2019,0,3822,,3822,,235,,54848,,1382,,1600,,44,,1186
25001015100,2018,0,3419,,3419,,304,,81888,,1580,,1773,,112,,2274
25001015100,2019,0,3872,,3872,,152,,95278,,1463,,2249,,144,,2350
25001015200,2018,0,2098,,2098,,98,,82083,,1358,,1009,,58,,397
25001015200,2019,0,1983,,1975,,109,,94143,,1438,,1017,,0,,330
25001015300,2018,1,2919,,2919,,742,,34222,,1095,,1686,,125,,16211
25001015300,2019,1,3297,,3297,,887,,37695,,1162,,1869,,129,,16416
25001990000,2018,0,0,,0,,0,,,-666666666,,-666666666,0,,0,,0
25001990000,2019,0,0,,0,,0,,,-666666666,,-666666666,0,,0,,0
25003900100,2018,1,2871,,2831,,879,,21329,,723,,1204,,143,,6777
25003900100,2019,1,3050,,3012,,949,,23539,,781,,1277,,95,,6811
25003900200,2018,1,4567,,4541,,786,,34375,,893,,2472,,114,,4097
25003900200,2019,1,4548,,4521,,831,,41223,,911,,2368,,41,,4255
25003900300,2018,0,2671,,2558,,305,,50188,,953,,1611,,74,,202
25003900300,2019,0,2586,,2476,,262,,58000,,989,,1494,,53,,234
25003900400,2018,0,5300,,5286,,1163,,48105,,808,,2670,,288,,781
25003900400,2019,0,5070,,5056,,702,,49058,,854,,2566,,116,,813
25003900500,2018,0,3328,,3070,,166,,80000,,1038,,1636,,77,,862
25003900500,2019,0,3291,,3004,,247,,77734,,1082,,1593,,90,,915
25003900600,2018,0,3375,,3358,,1262,,27015,,831,,1790,,355,,923
25003900600,2019,0,3110,,3093,,1240,,26897,,869,,1555,,309,,883
25003900700,2018,0,2822,,2735,,258,,59750,,897,,1491,,121,,1147
25003900700,2019,0,2821,,2731,,222,,67500,,826,,1563,,134,,1203
25003900800,2018,0,4637,,4626,,186,,82308,,1464,,2752,,82,,1635
25003900800,2019,0,4960,,4950,,145,,92832,,995,,3018,,138,,1526
25003900900,2018,0,5056,,5056,,416,,65042,,933,,3232,,280,,1241
25003900900,2019,0,4846,,4846,,399,,72136,,932,,2662,,232,,1259
