"borough","neighborhood","building_class_category","block","lot","commercial_units","total_units","gross_square_feet","year_built","sale_price","sale_date","latitude","longitude","community_board"
"4","ASTORIA","14 RENTALS - 4-10 UNIT","571","21","1","6","3,900","1935","0","2022-05-18T00:00:00.000","40.767871","-73.927599","401"
"4","FLUSHING-SOUTH","29 COMMERCIAL GARAGES","6891","13","1","1","3,587","1957","2818000","2022-05-18T00:00:00.000","40.738339","-73.794812","408"
"4","DOUGLASTON","44 CONDO PARKING","8286","4028","1","1",,,"0","2022-05-18T00:00:00.000","40.751632","-73.736817","411"
"4","JAMAICA","29 COMMERCIAL GARAGES","9995","14","1","1","2,700","1940","10328206","2022-05-18T00:00:00.000","40.700839","-73.80663","412"
"4","JAMAICA","29 COMMERCIAL GARAGES","9995","7","1","1","0","1973","10328206","2022-05-18T00:00:00.000","40.701558","-73.806928","412"
"5","GREAT KILLS","22 STORE BUILDINGS","5208","62","1","1","1,180","1931","630000","2022-05-18T00:00:00.000","40.542216","-74.14563","503"
"1","UPPER EAST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1423","1081","1","1",,,"3075000","2022-05-19T00:00:00.000","40.767753","-73.961892","108"
"1","EAST VILLAGE","07 RENTALS - WALKUP APARTMENTS","442","14","2","12","6,855","1900","3625000","2022-05-19T00:00:00.000","40.724032","-73.990273","103"
"1","CHELSEA","08 RENTALS - ELEVATOR APARTMENTS","764","24","2","29","17,424","1928","0","2022-05-19T00:00:00.000","40.738945","-74.000588","104"
"1","FASHION","21 OFFICE BUILDINGS","830","42","29","29","59,870","1900","4625000","2022-05-19T00:00:00.000","40.745037","-73.987048","105"
"2","MELROSE/CONCOURSE","07 RENTALS - WALKUP APARTMENTS","2839","75","4","38","30,740","1923","7750000","2022-05-19T00:00:00.000","40.836924","-73.917228","204"
"2","PARKCHESTER","14 RENTALS - 4-10 UNIT","4031","1","2","4","2,720","1901","2100000","2022-05-19T00:00:00.000","40.844898","-73.867648","211"
"2","PARKCHESTER","22 STORE BUILDINGS","4031","3","2","2","1,250","1925","2100000","2022-05-19T00:00:00.000","40.844933","-73.867474","211"
"2","WAKEFIELD","07 RENTALS - WALKUP APARTMENTS","5071","52","7","31","24,750","1929","0","2022-05-19T00:00:00.000","40.89802","-73.853153","212"
"2","RIVERDALE","44 CONDO PARKING","5798","1102","1","1",,"2005","1125000","2022-05-19T00:00:00.000","40.887159","-73.90859","208"
"3","BEDFORD STUYVESANT","02 TWO FAMILY DWELLINGS","1942","28","1","3","2,847","1935","1800000","2022-05-19T00:00:00.000","40.690642","-73.955369","303"
"3","FLATBUSH-NORTH","14 RENTALS - 4-10 UNIT","4628","10","1","6","5,000","1920","0","2022-05-19T00:00:00.000","40.660664","-73.925135","317"
"3","BAY RIDGE","44 CONDO PARKING","6118","1002","1","1",,,"546000","2022-05-19T00:00:00.000","40.615437","-74.03063","310"
"3","BENSONHURST","44 CONDO PARKING","6269","1006","1","1",,,"742500","2022-05-19T00:00:00.000",,,
"4","CORONA","22 STORE BUILDINGS","1974","12","1","1","11,250","1965","8200000","2022-05-19T00:00:00.000","40.749258","-73.86294","404"
"4","MASPETH","30 WAREHOUSES","2650","43","1","1","4,146","1931","1300000","2022-05-19T00:00:00.000","40.715599","-73.906834","405"
"4","ELMHURST","35 INDOOR PUBLIC AND CULTURAL FACILITIES","2796","3","3","3","3,080","1931","1620000","2022-05-19T00:00:00.000","40.726978","-73.893588","405"
"4","RIDGEWOOD","22 STORE BUILDINGS","3466","63","1","1","2,200","1930","1250000","2022-05-19T00:00:00.000","40.700453","-73.903112","405"
"4","LONG ISLAND CITY","46 CONDO STORE BUILDINGS","422","1002","1","1",,"2016","2736788","2022-05-19T00:00:00.000","40.749313","-73.940305","402"
"4","LONG ISLAND CITY","28 COMMERCIAL CONDOS","447","1001","1","1",,"1931","0","2022-05-19T00:00:00.000","40.748483","-73.949285","402"
"4","LONG ISLAND CITY","28 COMMERCIAL CONDOS","447","1002","1","1",,"1931","0","2022-05-19T00:00:00.000","40.748483","-73.949285","402"
"4","FLUSHING-NORTH","44 CONDO PARKING","5051","1226","1","1",,"2019","712775","2022-05-19T00:00:00.000","40.759022","-73.820109","407"
"4","BELLEROSE","02 TWO FAMILY DWELLINGS","8664","1","1","3","2,720","1926","1100000","2022-05-19T00:00:00.000","40.72616","-73.71785","413"
"5","NEW BRIGHTON","01 ONE FAMILY DWELLINGS","65","13","1","2","1,200","1920","0","2022-05-19T00:00:00.000","40.641625","-74.095008","501"
"1","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","1491","4","1","47","102,053","1969","10597190","2022-05-20T00:00:00.000","40.777418","-73.96341","108"
"1","CHINATOWN","22 STORE BUILDINGS","162","42","2","2","10,550","1913","3900000","2022-05-20T00:00:00.000","40.713649","-73.998193","103"
"1","CIVIC CENTER","47 CONDO NON-BUSINESS STORAGE","174","1668","1","1",,"2018","2900000","2022-05-20T00:00:00.000","40.717132","-74.004574","101"
"1","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS","2117","31","1","3","4,680","1900","4978192","2022-05-20T00:00:00.000","40.834304","-73.941595","112"
"1","WASHINGTON HEIGHTS UPPER","14 RENTALS - 4-10 UNIT","2166","159","1","5","2,521","1910","926777","2022-05-20T00:00:00.000",,,
"1","JAVITS CENTER","30 WAREHOUSES","734","10","1","1","15,000","1920","0","2022-05-20T00:00:00.000","40.755441","-73.997177","104"
"2","WAKEFIELD","22 STORE BUILDINGS","5043","28","3","3","3,384","1933","0","2022-05-20T00:00:00.000","40.896742","-73.855517","212"
"3","BEDFORD STUYVESANT","30 WAREHOUSES","1914","39","2","2","9,300","1968","5500000","2022-05-20T00:00:00.000","40.693651","-73.955969","303"
"3","COBBLE HILL-WEST","27 FACTORIES","347","11","1","1","14,739","1973","16500000","2022-05-20T00:00:00.000","40.684143","-74.004875","306"
"3","COBBLE HILL-WEST","30 WAREHOUSES","347","4","1","1","7,500","1985","16500000","2022-05-20T00:00:00.000","40.68417","-74.00556","306"
"3","FLATBUSH-NORTH","14 RENTALS - 4-10 UNIT","4693","6","1","5","4,920","1931","1070000","2022-05-20T00:00:00.000","40.655821","-73.915283","317"
"3","FLATBUSH-CENTRAL","44 CONDO PARKING","5121","1030","1","1",,"2019","800000","2022-05-20T00:00:00.000","40.645616","-73.962361","314"
"3","BOROUGH PARK","35 INDOOR PUBLIC AND CULTURAL FACILITIES","5513","41","1","1","986","1931","0","2022-05-20T00:00:00.000","40.619848","-73.982414","312"
"3","BENSONHURST","02 TWO FAMILY DWELLINGS","5579","7","1","3","3,306","1931","0","2022-05-20T00:00:00.000","40.61468","-73.987765","311"
"3","BOROUGH PARK","02 TWO FAMILY DWELLINGS","5673","1","1","3","3,840","1910","0","2022-05-20T00:00:00.000","40.63721","-74.004172","312"
"3","BAY RIDGE","22 STORE BUILDINGS","6036","48","2","4","3,024","1926","1350000","2022-05-20T00:00:00.000","40.620856","-74.025147","310"
"3","BENSONHURST","14 RENTALS - 4-10 UNIT","6347","10","1","6","4,320","1929","0","2022-05-20T00:00:00.000","40.603781","-73.995516","311"
"3","MADISON","44 CONDO PARKING","6782","1568","1","1",,"2016","875000","2022-05-20T00:00:00.000","40.609857","-73.953403","315"
"4","HOLLIS","02 TWO FAMILY DWELLINGS","10479","10","1","3","2,800","1931","985000","2022-05-20T00:00:00.000","40.713668","-73.754916","412"
"4","HOLLIS","22 STORE BUILDINGS","10497","57","3","3","2,320","1931","0","2022-05-20T00:00:00.000","40.720378","-73.760985","412"
"4","SOUTH OZONE PARK","14 RENTALS - 4-10 UNIT","11624","53","1","4","2,720","1930","905000","2022-05-20T00:00:00.000","40.68023","-73.821213","410"
"4","FOREST HILLS","44 CONDO PARKING","2185","1044","1","1",,"2009","600000","2022-05-20T00:00:00.000","40.73343","-73.844646","406"
"4","MASPETH","30 WAREHOUSES","2342","31","1","1","8,668","2020","4600000","2022-05-20T00:00:00.000","40.736084","-73.908015","402"
"4","FLUSHING-NORTH","44 CONDO PARKING","5459","1102","1","1",,"1890","550000","2022-05-20T00:00:00.000","40.753246","-73.805911","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5459","1107","1","1",,"1890","550000","2022-05-20T00:00:00.000","40.753246","-73.805911","407"
"5","ROSSVILLE-PORT MOBIL","27 FACTORIES","7206","101","1","1","15,000","1991","3800000","2022-05-20T00:00:00.000","40.550944","-74.232537","503"
"5","TOTTENVILLE","38 ASYLUMS AND HOMES","7826","125","1","1","4,300","1972","1650000","2022-05-20T00:00:00.000","40.501897","-74.233898","503"
"4","ROCKAWAY PARK","44 CONDO PARKING","16226","1160","1","1",,,"0","2022-05-21T00:00:00.000","40.578367","-73.837429","414"
"4","LONG ISLAND CITY","30 WAREHOUSES","636","24","1","1","5,712","1930","10","2022-05-21T00:00:00.000","40.754215","-73.926145","401"
"5","CASTLETON CORNERS","02 TWO FAMILY DWELLINGS","351","39","1","3","4,120","1915","0","2022-05-21T00:00:00.000","40.626871","-74.125093","501"
"1","MIDTOWN WEST","22 STORE BUILDINGS","1033","29","1","1","12,905","1972","0","2022-05-23T00:00:00.000","40.757337","-73.989727","104"
"1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS","1748","35","1","156","194,030","1997","0","2022-05-23T00:00:00.000","40.804773","-73.941382","111"
"1","GREENWICH VILLAGE-CENTRAL","21 OFFICE BUILDINGS","569","24","1","1","70,642","1906","31088605","2022-05-23T00:00:00.000","40.733617","-73.993065","102"
"1","FASHION","43 CONDO OFFICE BUILDINGS","834","1014","1","1",,"1912","9915860","2022-05-23T00:00:00.000","40.74815","-73.985972","105"
"1","FASHION","43 CONDO OFFICE BUILDINGS","834","1015","1","1",,"1912","14400000","2022-05-23T00:00:00.000","40.74815","-73.985972","105"
"2","BAYCHESTER","22 STORE BUILDINGS","4950","28","1","2","2,040","1931","0","2022-05-23T00:00:00.000","40.887845","-73.830575","212"
"3","OCEAN HILL","02 TWO FAMILY DWELLINGS","1517","18","1","3","3,300","1925","1020000","2022-05-23T00:00:00.000","40.682568","-73.90988","316"
"3","WILLIAMSBURG-NORTH","07 RENTALS - WALKUP APARTMENTS","2297","19","1","11","5,400","1910","1160000","2022-05-23T00:00:00.000","40.719638","-73.955801","301"
"3","WYCKOFF HEIGHTS","14 RENTALS - 4-10 UNIT","3290","7","1","6","4,350","1931","990000","2022-05-23T00:00:00.000","40.700887","-73.917642","304"
"3","FLATBUSH-EAST","02 TWO FAMILY DWELLINGS","4778","9","1","3","2,080","1931","20000","2022-05-23T00:00:00.000","40.64196","-73.93198","317"
"3","BOROUGH PARK","14 RENTALS - 4-10 UNIT","5698","60","1","4","4,832","1899","0","2022-05-23T00:00:00.000","40.629099","-73.994715","312"
"3","MIDWOOD","02 TWO FAMILY DWELLINGS","6706","44","1","3","3,042","1915","0","2022-05-23T00:00:00.000","40.625014","-73.962989","314"
"3","BOROUGH PARK","01 ONE FAMILY DWELLINGS","751","10","1","2","2,534","1936","0","2022-05-23T00:00:00.000","40.643822","-74.000883","312"
"3","OLD MILL BASIN","22 STORE BUILDINGS","7897","37","2","2","2,456","1958","600000","2022-05-23T00:00:00.000","40.619078","-73.924713","318"
"3","CANARSIE","27 FACTORIES","7965","50","1","1","7,544","1964","2000000","2022-05-23T00:00:00.000","40.643439","-73.914272","318"
"3","SUNSET PARK","44 CONDO PARKING","897","1212","1","1",,,"665000","2022-05-23T00:00:00.000","40.660469","-73.99198","307"
"3","PARK SLOPE","02 TWO FAMILY DWELLINGS","932","42","1","3","2,700","1930","0","2022-05-23T00:00:00.000","40.681297","-73.977163","306"
"3","PARK SLOPE","44 CONDO PARKING","961","1046","1","1",,"2004","3162034","2022-05-23T00:00:00.000","40.675927","-73.983355","306"
"4","ROCKAWAY PARK","44 CONDO PARKING","16173","1115","1","1",,"2006","610000","2022-05-23T00:00:00.000","40.583119","-73.82144","414"
"4","FLUSHING-NORTH","46 CONDO STORE BUILDINGS","4977","1210","1","1",,,"1630000","2022-05-23T00:00:00.000","40.762495","-73.83167","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5051","1251","1","1",,"2019","738231","2022-05-23T00:00:00.000","40.759022","-73.820109","407"
"4","LONG ISLAND CITY","44 CONDO PARKING","52","1254","1","1",,"2018","1458000","2022-05-23T00:00:00.000","40.748466","-73.949289","402"
"4","FLUSHING-NORTH","44 CONDO PARKING","6377","1116","1","1",,"2014","0","2022-05-23T00:00:00.000","40.745156","-73.825925","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","6377","1117","1","1",,"2014","0","2022-05-23T00:00:00.000","40.745156","-73.825925","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","6377","1118","1","1",,"2014","0","2022-05-23T00:00:00.000","40.745156","-73.825925","407"
"4","RICHMOND HILL","22 STORE BUILDINGS","9289","19","1","2","3,093","1920","909000","2022-05-23T00:00:00.000","40.695222","-73.841847","409"
"1","MIDTOWN CBD","21 OFFICE BUILDINGS","1277","8","28","28","304,525","1968","275000","2022-05-24T00:00:00.000","40.75391","-73.979834","105"
"2","MOTT HAVEN/PORT MORRIS","37 RELIGIOUS FACILITIES","2289","12","1","1","6,348","1907","1750000","2022-05-24T00:00:00.000","40.81317","-73.918854","201"
"2","MOTT HAVEN/PORT MORRIS","37 RELIGIOUS FACILITIES","2289","13","1","1","11,200","1907","1750000","2022-05-24T00:00:00.000","40.813153","-73.918818","201"
"2","MOTT HAVEN/PORT MORRIS","29 COMMERCIAL GARAGES","2601","48","3","3","4,875","1931","1450000","2022-05-24T00:00:00.000","40.8179","-73.89306","202"
"2","MORRISANIA/LONGWOOD","22 STORE BUILDINGS","3006","13","1","1","10,000","1931","1800000","2022-05-24T00:00:00.000","40.828236","-73.887396","203"
"2","FORDHAM","22 STORE BUILDINGS","3183","1","5","5","4,468","1920","2950000","2022-05-24T00:00:00.000","40.858305","-73.90251","205"
"2","WAKEFIELD","22 STORE BUILDINGS","5110","4","1","1","1,550","1949","550000","2022-05-24T00:00:00.000","40.906562","-73.848854","212"
"2","KINGSBRIDGE/JEROME PARK","44 CONDO PARKING","5764","1069","1","1",,"2005","40000","2022-05-24T00:00:00.000","40.884987","-73.90664","208"
"3","PROSPECT HEIGHTS","14 RENTALS - 4-10 UNIT","1153","1","1","4","4,178","1931","2700000","2022-05-24T00:00:00.000","40.677191","-73.965916","308"
"3","PROSPECT HEIGHTS","44 CONDO PARKING","1153","1622","1","1",,"2014","2350000","2022-05-24T00:00:00.000","40.677698","-73.964553","308"
"3","GREENPOINT","07 RENTALS - WALKUP APARTMENTS","2720","29","1","5","4,874","1930","6750000","2022-05-24T00:00:00.000","40.72167","-73.944836","301"
"3","EAST NEW YORK","02 TWO FAMILY DWELLINGS","4300","8","1","3","5,480","1920","0","2022-05-24T00:00:00.000","40.662406","-73.891788","305"
"3","BOROUGH PARK","44 CONDO PARKING","5516","1237","1","1",,"2016","0","2022-05-24T00:00:00.000",,,
"3","BAY RIDGE","44 CONDO PARKING","6099","1122","1","1",,"2019","915000","2022-05-24T00:00:00.000","40.620759","-74.038867","310"
"3","BENSONHURST","01 ONE FAMILY DWELLINGS","6259","39","1","2","2,420","1931","999000","2022-05-24T00:00:00.000","40.613226","-74.000684","311"
"3","MIDWOOD","02 TWO FAMILY DWELLINGS","6706","44","1","3","3,042","1915","1410000","2022-05-24T00:00:00.000","40.625014","-73.962989","314"
"3","CANARSIE","22 STORE BUILDINGS","8260","37","2","2","1,625","1931","635000","2022-05-24T00:00:00.000","40.63777","-73.896681","318"
"3","BRIGHTON BEACH","44 CONDO PARKING","8720","2207","1","1",,,"130000","2022-05-24T00:00:00.000","40.577061","-73.95898","313"
"3","SUNSET PARK","27 FACTORIES","903","110","1","1","22,740","1914","0","2022-05-24T00:00:00.000","40.649748","-74.001377","307"
"4","ASTORIA","44 CONDO PARKING","569","1227","1","1",,"2018","50000","2022-05-24T00:00:00.000","40.765786","-73.928774","401"
"4","LONG ISLAND CITY","30 WAREHOUSES","636","52","1","1","5,000","1930","2050000","2022-05-24T00:00:00.000","40.753221","-73.925875","401"
"1","MIDTOWN WEST","26 OTHER HOTELS","1009","37","2","2","112,850","2007","100","2022-05-25T00:00:00.000","40.764455","-73.977532","105"
"1","MIDTOWN WEST","22 STORE BUILDINGS","1034","32","1","5","5,503","1920","20000000","2022-05-25T00:00:00.000","40.758201","-73.989095","104"
"1","TRIBECA","46 CONDO STORE BUILDINGS","144","1101","1","1",,"1910","5800000","2022-05-25T00:00:00.000","40.717052","-74.009083","101"
"1","TRIBECA","46 CONDO STORE BUILDINGS","144","1102","1","1",,"1910","5800000","2022-05-25T00:00:00.000","40.717052","-74.009083","101"
"1","UPPER EAST SIDE (79-96)","47 CONDO NON-BUSINESS STORAGE","1497","1017","1","1",,"1928","5850000","2022-05-25T00:00:00.000","40.781149","-73.959923","108"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","353","49","1","26","15,038","1910","14080000","2022-05-25T00:00:00.000","40.71882","-73.987125","103"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","412","27","1","16","9,540","1900","10450000","2022-05-25T00:00:00.000","40.72191","-73.987442","103"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","414","21","2","18","7,800","1900","10220000","2022-05-25T00:00:00.000","40.718688","-73.990653","103"
"1","FASHION","21 OFFICE BUILDINGS","787","31","2","2","21,180","1920","15450000","2022-05-25T00:00:00.000","40.753253","-73.990067","105"
"2","BELMONT","22 STORE BUILDINGS","3091","87","2","2","800","1931","5000000","2022-05-25T00:00:00.000","40.856236","-73.882934","206"
"2","WESTCHESTER","01 ONE FAMILY DWELLINGS","4001","23","2","3","4,641","1920","700000","2022-05-25T00:00:00.000","40.842861","-73.849841","210"
"3","PARK SLOPE SOUTH","47 CONDO NON-BUSINESS STORAGE","1052","1326","1","1",,"2018","1109000","2022-05-25T00:00:00.000","40.66578","-73.992528","307"
"3","BEDFORD STUYVESANT","47 CONDO NON-BUSINESS STORAGE","1899","1802","1","1",,"2012","0","2022-05-25T00:00:00.000","40.695089","-73.95722","303"
"3","CLINTON HILL","47 CONDO NON-BUSINESS STORAGE","1979","1269","1","1",,"1905","1200000","2022-05-25T00:00:00.000","40.684072","-73.964975","302"
"3","GREENPOINT","01 ONE FAMILY DWELLINGS","2725","26","2","3","4,695","1960","0","2022-05-25T00:00:00.000","40.718884","-73.94407","301"
"3","WINDSOR TERRACE","44 CONDO PARKING","5280","1104","1","1",,"2019","1377456","2022-05-25T00:00:00.000","40.648009","-73.980414","307"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","5785","6","1","3","4,000","1925","0","2022-05-25T00:00:00.000","40.636691","-74.011886","307"
"3","BOROUGH PARK","44 CONDO PARKING","6550","1009","1","1",,"2006","610000","2022-05-25T00:00:00.000","40.615082","-73.978821","311"
"3","GRAVESEND","07 RENTALS - WALKUP APARTMENTS","6656","37","5","12","11,185","1931","0","2022-05-25T00:00:00.000","40.604319","-73.973307","311"
"3","GRAVESEND","02 TWO FAMILY DWELLINGS","7100","44","1","3","1,920","1931","995000","2022-05-25T00:00:00.000","40.596574","-73.976976","311"
"3","BRIGHTON BEACH","44 CONDO PARKING","8720","1707","1","1",,,"145000","2022-05-25T00:00:00.000","40.576844","-73.958588","313"
"3","PARK SLOPE","07 RENTALS - WALKUP APARTMENTS","957","3","1","13","8,510","1920","7350000","2022-05-25T00:00:00.000",,,
"4","FLUSHING-NORTH","44 CONDO PARKING","4410","1239","1","1",,"2008","0","2022-05-25T00:00:00.000","40.769719","-73.83128","407"
"4","FLUSHING-NORTH","28 COMMERCIAL CONDOS","5441","1301","1","1",,"2021","1930000","2022-05-25T00:00:00.000","40.755327","-73.804664","407"
"5","PORT RICHMOND","02 TWO FAMILY DWELLINGS","1008","38","1","3","3,222","1931","710000","2022-05-25T00:00:00.000","40.637975","-74.128937","501"
"5","PORT RICHMOND","30 WAREHOUSES","1076","8","1","1","6,850","1931","0","2022-05-25T00:00:00.000","40.63849","-74.136364","501"
"5","GREAT KILLS","21 OFFICE BUILDINGS","5272","43","2","2","1,440","1931","800000","2022-05-25T00:00:00.000","40.54263","-74.146228","503"
"1","MIDTOWN WEST","43 CONDO OFFICE BUILDINGS","1261","1117","1","1",,,"4325000","2022-05-26T00:00:00.000","40.756306","-73.979704","105"
"1","MIDTOWN EAST","08 RENTALS - ELEVATOR APARTMENTS","1344","33","2","67","51,338","1941","28860000","2022-05-26T00:00:00.000","40.755683","-73.966566","106"
"1","UPPER EAST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1411","1175","1","1",,"1942","1600000","2022-05-26T00:00:00.000","40.773261","-73.958975","108"
"1","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","1448","24","1","10","6,000","1910","0","2022-05-26T00:00:00.000","40.76861","-73.955425","108"
"1","HARLEM-CENTRAL","47 CONDO NON-BUSINESS STORAGE","1911","1313","1","1",,"1910","985000","2022-05-26T00:00:00.000","40.808956","-73.946183","110"
"1","SOHO","45 CONDO HOTELS","491","1448","1","1",,"2007","500000","2022-05-26T00:00:00.000","40.725616","-74.005253","102"
"1","FASHION","43 CONDO OFFICE BUILDINGS","838","1308","1","1",,"1911","2520000","2022-05-26T00:00:00.000","40.750518","-73.985487","105"
"2","MOTT HAVEN/PORT MORRIS","27 FACTORIES","2587","21","1","1","38,186","1950","5500000","2022-05-26T00:00:00.000","40.801947","-73.911882","201"
"2","BATHGATE","22 STORE BUILDINGS","2899","53","2","2","8,560","1931","0","2022-05-26T00:00:00.000","40.844994","-73.900849","206"
"3","OCEAN HILL","14 RENTALS - 4-10 UNIT","1509","1","3","9","7,360","1905","0","2022-05-26T00:00:00.000","40.681631","-73.919732","303"
"3","WILLIAMSBURG-NORTH","48 CONDO TERRACES/GARDENS/CABANAS","2340","1582","1","1",,,"135000","2022-05-26T00:00:00.000","40.7198","-73.963867","301"
"3","COBBLE HILL","44 CONDO PARKING","291","1042","1","1",,"2017","4603583","2022-05-26T00:00:00.000","40.689706","-73.996729","306"
"3","RED HOOK","30 WAREHOUSES","523","13","2","2","23,520","1971","32000000","2022-05-26T00:00:00.000","40.678925","-74.006839","306"
"3","SUNSET PARK","30 WAREHOUSES","5802","1","7","7","73,950","1922","21400000","2022-05-26T00:00:00.000","40.636923","-74.015226","307"
"3","GRAVESEND","44 CONDO PARKING","6882","1122","1","1",,"2017","425880","2022-05-26T00:00:00.000","40.593013","-73.987527","313"
"3","SHEEPSHEAD BAY","22 STORE BUILDINGS","7423","6","6","6","6,260","1950","2200000","2022-05-26T00:00:00.000","40.593955","-73.939277","315"
"3","FLATLANDS","22 STORE BUILDINGS","7839","45","3","3","11,926","1931","5650000","2022-05-26T00:00:00.000","40.626081","-73.917965","318"
"4","MASPETH","30 WAREHOUSES","2573","207","1","1","3,136","1986","0","2022-05-26T00:00:00.000","40.724775","-73.914849","402"
"4","MASPETH","30 WAREHOUSES","2573","210","1","1","2,852","1986","0","2022-05-26T00:00:00.000","40.724772","-73.914849","402"
"4","FLUSHING-NORTH","44 CONDO PARKING","5181","1304","1","1",,"2019","865513","2022-05-26T00:00:00.000","40.757918","-73.823","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5181","1306","1","1",,"2019","855330","2022-05-26T00:00:00.000","40.757918","-73.823","407"
"4","FLUSHING-NORTH","22 STORE BUILDINGS","5339","9","6","6","13,722","1950","5900000","2022-05-26T00:00:00.000","40.760743","-73.801912","407"
"1","UPPER WEST SIDE (59-79)","45 CONDO HOTELS","1138","1521","1","1",,,"0","2022-05-27T00:00:00.000","40.774417","-73.983475","107"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","276","35","2","18","9,916","1900","0","2022-05-27T00:00:00.000","40.712224","-73.995203","103"
"2","MORRISANIA/LONGWOOD","22 STORE BUILDINGS","2362","42","1","1","4,332","1930","2225000","2022-05-27T00:00:00.000","40.817668","-73.91542","201"
"2","PELHAM PARKWAY NORTH","21 OFFICE BUILDINGS","4450","101","2","2","2,200","1984","1500000","2022-05-27T00:00:00.000","40.863152","-73.858107","211"
"2","WAKEFIELD","22 STORE BUILDINGS","5090","38","1","1","1,015","1938","525000","2022-05-27T00:00:00.000","40.898171","-73.851015","212"
"2","WAKEFIELD","22 STORE BUILDINGS","5090","39","1","1","500","1963","525000","2022-05-27T00:00:00.000","40.89816","-73.851065","212"
"3","DOWNTOWN-FULTON MALL","11 SPECIAL CONDO BILLING LOTS","165","1001","3","11","5,802","2009","142350000","2022-05-27T00:00:00.000","40.689154","-73.984534","302"
"3","DOWNTOWN-FULTON MALL","46 CONDO STORE BUILDINGS","165","1004","1","1",,"2009","142350000","2022-05-27T00:00:00.000","40.689154","-73.984534","302"
"3","CLINTON HILL","44 CONDO PARKING","1931","1012","1","1",,,"150000","2022-05-27T00:00:00.000","40.689111","-73.966026","302"
"3","WILLIAMSBURG-NORTH","46 CONDO STORE BUILDINGS","2366","1003","1","1",,"2019","25500000","2022-05-27T00:00:00.000","40.714663","-73.959","301"
"3","WILLIAMSBURG-SOUTH","14 RENTALS - 4-10 UNIT","2457","43","1","4","5,200","1900","4230000","2022-05-27T00:00:00.000","40.710374","-73.963544","301"
"3","WILLIAMSBURG-SOUTH","14 RENTALS - 4-10 UNIT","2457","44","1","5","6,400","1910","4770000","2022-05-27T00:00:00.000","40.710396","-73.963605","301"
"3","BUSHWICK","14 RENTALS - 4-10 UNIT","3158","30","1","5","4,875","1931","0","2022-05-27T00:00:00.000","40.704344","-73.928097","304"
"3","BUSHWICK","14 RENTALS - 4-10 UNIT","3165","7","1","5","4,125","1931","0","2022-05-27T00:00:00.000","40.70253","-73.928914","304"
"3","BOROUGH PARK","44 CONDO PARKING","5516","1254","1","1",,"2016","0","2022-05-27T00:00:00.000",,,
"3","DYKER HEIGHTS","22 STORE BUILDINGS","6210","42","4","4","6,996","1931","4350000","2022-05-27T00:00:00.000","40.620752","-74.006974","310"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","634","47","1","3","1,835","1922","640000","2022-05-27T00:00:00.000","40.662558","-73.992175","307"
"3","SUNSET PARK","14 RENTALS - 4-10 UNIT","676","42","2","6","8,800","1931","2950000","2022-05-27T00:00:00.000","40.656835","-74.001809","307"
"3","MIDWOOD","44 CONDO PARKING","7620","1056","1","1",,"2019","52000","2022-05-27T00:00:00.000","40.621487","-73.955581","314"
"3","BRIGHTON BEACH","44 CONDO PARKING","8719","1169","1","1",,"2016","689000","2022-05-27T00:00:00.000","40.579041","-73.953309","315"
"4","CORONA","44 CONDO PARKING","1941","1050","1","1",,"2005","0","2022-05-27T00:00:00.000","40.740944","-73.858511","404"
"4","LONG ISLAND CITY","44 CONDO PARKING","30","1171","1","1",,"2007","98000","2022-05-27T00:00:00.000","40.744448","-73.955636","402"
"4","LONG ISLAND CITY","47 CONDO NON-BUSINESS STORAGE","430","1240","1","1",,"2016","18000","2022-05-27T00:00:00.000","40.748805","-73.941118","402"
"4","FLUSHING-NORTH","22 STORE BUILDINGS","5582","22","2","3","3,680","1937","0","2022-05-27T00:00:00.000","40.753448","-73.794025","411"
"4","FLUSHING-SOUTH","44 CONDO PARKING","6793","1076","1","1",,"2016","525000","2022-05-27T00:00:00.000","40.728516","-73.81115","408"
"5","NEW SPRINGVILLE","22 STORE BUILDINGS","2380","80","1","1","2,053","2021","4450000","2022-05-27T00:00:00.000","40.592282","-74.163635","502"
"5","STAPLETON-CLIFTON","30 WAREHOUSES","2873","34","1","1","215,365","1924","57000000","2022-05-27T00:00:00.000","40.617288","-74.07495","501"
