geoid,latitude,longitude,population,population_source_code,population_moe,population_moe_source_code,poverty_population,poverty_population_source_code,poverty_count,poverty_count_source_code,poverty_count_moe,poverty_count_moe_source_code,median_household_income,median_household_income_source_code,median_income_moe,median_income_moe_source_code,workers,workers_source_code,public_transit_workers,public_transit_workers_source_code,median_gross_rent,median_gross_rent_source_code,median_rent_moe,median_rent_moe_source_code
25005640901,41.6948175,-71.1661474,4730,,988.0,,4712,,914,,265.0,,47315.0,,13402.0,,1976,,40,,1102.0,,69.0,
25005641000,41.7030913,-71.1661382,2528,,432.0,,2503,,824,,345.0,,31385.0,,9301.0,,1160,,20,,958.0,,73.0,
25005641101,41.6997374,-71.1558551,1423,,392.0,,1423,,447,,279.0,,24069.0,,10513.0,,522,,31,,890.0,,99.0,
25005641200,41.6947299,-71.1430029,3431,,699.0,,3431,,939,,374.0,,36484.0,,15798.0,,1645,,18,,1078.0,,155.0,
25005641300,41.6969066,-71.1361908,6131,,842.0,,6128,,2109,,694.0,,39421.0,,12069.0,,2520,,45,,1021.0,,103.0,
25005641400,41.6869774,-71.135423,3290,,501.0,,3256,,1053,,283.0,,29866.0,,7761.0,,1398,,31,,1095.0,,70.0,
25005641500,41.6868127,-71.1281485,2710,,395.0,,2710,,497,,191.0,,53963.0,,18552.0,,1291,,8,,1150.0,,116.0,
25005641600,41.6890348,-71.1227078,2396,,394.0,,2396,,536,,169.0,,52468.0,,17889.0,,1082,,0,,1260.0,,148.0,
25005641700,41.7067223,-71.1280791,4815,,581.0,,4628,,371,,210.0,,66335.0,,11600.0,,2406,,0,,899.0,,111.0,
25005641800,41.7102748,-71.1489973,1923,,260.0,,1888,,224,,109.0,,58090.0,,6867.0,,1030,,26,,1123.0,,49.0,
25005641900,41.7052478,-71.1530828,2787,,530.0,,2733,,617,,331.0,,55354.0,,17251.0,,1094,,0,,1420.0,,229.0,
25005642000,41.7093508,-71.1587647,3379,,477.0,,3379,,1049,,308.0,,50222.0,,15625.0,,1627,,47,,1098.0,,91.0,
