GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25017310200|2599|506|2260|473|2162|431|98|98|81|83|17|29|0|19|0|19|0|19|27|47|25|47|2|5|0|19|0|19|0|19|67|78|0|19|18|29|43|49|36|54|148|91
1400000US25017310300|3163|498|2649|424|2433|424|216|133|151|117|51|69|5|11|9|28|0|19|116|117|33|55|0|19|83|100|0|19|0|19|4|22|0|19|0|19|105|82|0|19|289|161
1400000US25017310400|1453|261|1257|255|1138|245|119|83|86|69|0|14|0|14|33|41|0|14|14|26|0|14|0|14|14|26|0|14|0|14|0|14|0|14|0|14|129|104|38|47|15|22
1400000US25017310500|2388|433|1978|456|1901|468|77|58|9|15|68|55|0|14|0|14|0|14|92|69|75|57|0|14|17|30|0|14|0|14|0|14|23|45|0|14|150|107|0|14|145|77
1400000US25017310601|2831|572|2666|547|2608|536|58|55|58|55|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|41|49|0|19|124|92
1400000US25017310602|3325|581|2809|569|2598|564|211|144|176|121|17|30|18|84|0|19|0|19|34|56|0|19|34|56|0|19|0|19|0|19|0|19|0|19|25|41|109|132|0|19|348|207
1400000US25017310700|2112|406|1505|347|1271|356|234|132|216|132|6|11|0|14|0|14|12|21|92|64|9|18|39|38|44|45|0|14|0|14|66|78|0|14|0|14|184|76|85|70|180|89
1400000US25017311100|1323|300|1011|270|810|276|201|95|100|69|38|38|31|49|32|29|0|14|13|15|0|14|0|14|13|15|0|14|0|14|11|19|0|14|0|14|33|29|42|60|213|87
1400000US25017311200|1311|446|1142|437|993|432|149|124|149|124|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|0|14|17|25|18|30|91|143|43|72
1400000US25017311300|2028|398|1628|382|1374|347|254|158|169|116|85|77|0|14|0|14|0|14|11|20|0|14|0|14|11|20|0|14|0|14|0|14|0|14|0|14|107|85|0|14|282|146
1400000US25017311400|3938|882|3082|683|2948|681|134|102|85|65|49|84|0|19|0|19|0|19|113|80|0|19|8|14|105|78|0|19|0|19|90|140|0|19|0|19|237|243|0|19|416|170
1400000US25017311500|1859|414|1655|438|1407|398|248|128|49|43|127|117|66|48|6|17|0|14|42|37|28|31|0|14|14|21|0|14|0|14|0|14|0|14|16|23|5|12|17|26|124|79
1400000US25017311600|3548|856|2793|840|2540|838|253|116|209|102|44|47|0|19|0|19|0|19|102|85|15|21|19|32|68|75|0|19|0|19|46|47|0|19|11|20|68|60|22|35|506|208
1400000US25017311700|2758|372|2360|323|1938|330|422|178|291|145|72|71|24|38|0|14|35|58|69|52|35|37|18|26|16|20|0|14|0|14|26|41|0|14|0|14|0|14|33|31|270|120
1400000US25017311800|1894|329|1583|310|1297|241|286|169|202|162|84|66|0|14|0|14|0|14|21|27|0|14|0|14|21|27|0|14|0|14|0|14|0|14|0|14|38|62|86|75|166|92
1400000US25017311900|1461|244|1194|221|1047|199|147|111|14|21|62|85|34|37|37|66|0|14|58|52|49|46|0|14|9|24|0|14|0|14|18|26|0|14|0|14|63|43|9|14|119|67
