person_id,cohort,weight,age,age_band,education_band,worker_class,puma,sex,race,hispanic_origin,employed
2019-2019GQ0068926-01,2019,58,61,50-64,below_high_school,missing,00400,2,1,24,0
2019-2019GQ0068948-01,2019,76,20,18-34,high_school_some_college,3,00103,1,2,01,0
2019-2019GQ0068965-01,2019,87,21,18-34,high_school_some_college,2,00300,1,1,01,1
2019-2019GQ0069662-01,2019,24,18,18-34,high_school_some_college,3,00400,1,1,01,0
2019-2019GQ0069788-01,2019,98,22,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0069891-01,2019,35,30,18-34,high_school_some_college,missing,00104,2,9,01,0
2019-2019GQ0070137-01,2019,85,19,18-34,high_school_some_college,4,00400,1,1,01,1
2019-2019GQ0070348-01,2019,74,20,18-34,high_school_some_college,4,00103,1,1,01,0
2019-2019GQ0070437-01,2019,58,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0070522-01,2019,67,20,18-34,high_school_some_college,1,00103,2,1,01,1
2019-2019GQ0070643-01,2019,27,20,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0070880-01,2019,78,18,18-34,high_school_some_college,1,00300,2,1,01,0
2019-2019GQ0070923-01,2019,5,21,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0071219-01,2019,11,18,18-34,high_school_some_college,missing,00103,2,1,01,0
2019-2019GQ0071677-01,2019,74,19,18-34,high_school_some_college,1,00300,1,1,01,1
2019-2019GQ0071736-01,2019,22,20,18-34,high_school_some_college,2,00103,1,8,03,1
2019-2019GQ0071865-01,2019,34,20,18-34,high_school_some_college,1,00103,2,2,01,0
2019-2019GQ0071945-01,2019,93,18,18-34,high_school_some_college,missing,00103,2,9,01,0
2019-2019GQ0072011-01,2019,83,19,18-34,high_school_some_college,missing,00300,1,1,01,0
2019-2019GQ0072435-01,2019,58,18,18-34,high_school_some_college,9,00103,2,1,01,0
2019-2019GQ0072536-01,2019,30,19,18-34,high_school_some_college,missing,00103,1,1,01,0
2019-2019GQ0072599-01,2019,34,21,18-34,associate_bachelor,1,00103,2,1,01,1
2019-2019GQ0073209-01,2019,8,19,18-34,high_school_some_college,7,00103,1,8,24,0
2019-2019GQ0073223-01,2019,71,19,18-34,high_school_some_college,1,00103,1,1,01,1
2019-2019GQ0073257-01,2019,63,18,18-34,high_school_some_college,missing,00103,1,9,01,0
2019-2019GQ0073405-01,2019,68,19,18-34,high_school_some_college,2,00103,2,1,01,1
2019-2019GQ0073578-01,2019,40,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0074219-01,2019,56,19,18-34,high_school_some_college,1,00400,2,1,01,0
2019-2019GQ0074698-01,2019,87,19,18-34,high_school_some_college,1,00103,1,1,01,0
2019-2019GQ0074945-01,2019,24,19,18-34,high_school_some_college,2,00103,2,1,01,1
2019-2019GQ0075362-01,2019,46,22,18-34,high_school_some_college,1,00103,2,1,01,0
2019-2019GQ0075424-01,2019,31,18,18-34,high_school_some_college,1,00300,2,1,01,0
